datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
PalombaEtAl_lucene-solr,0.4,7,5327,4,3196,3,2131,2.576031563,2.091510889,0.000980089,-,-,0,0.998594189,0,1,0,0,3,2131,-,-,-,-
PalombaEtAl_lucene-solr,0.5,7,5327,3.5,2663.5,3.5,2663.5,2.147316545,2.530398117,0.000948781,-,-,0,0.998687664,0,1,0,0,3.5,2663.5,-,-,-,-
PalombaEtAl_lucene-solr,0.85,7,5327,1,799,6,4528,0.644320911,3.889332871,0.000857815,-,-,0,0.998676665,0,1,0,0,6,4528,-,-,-,-
PalombaEtAl_lucene-solr,0.1,7,5327,6,4794,1,533,3.863414745,0.599078421,0.00112187,-,-,0,0.998127341,0,1,0,0,1,533,-,-,-,-
PalombaEtAl_lucene-solr,0.55,7,5327,3,2397,4,2930,1.931938272,2.717432832,0.000926187,-,-,0,0.998636673,0,1,0,0,4,2930,-,-,-,-
PalombaEtAl_lucene-solr,0.2,7,5327,6,4261,1,1066,3.435284514,1.130866117,0.001059856,-,-,0,0.999062793,0,1,0,0,1,1066,-,-,-,-
PalombaEtAl_lucene-solr,0.3,7,5327,5,3728,2,1599,3.005255927,1.626824561,0.00101613,-,-,0,0.998750781,0,1,0,0,2,1599,-,-,-,-
PalombaEtAl_lucene-solr,0.25,7,5327,5,3995,2,1332,3.220553633,1.369195948,0.001026384,-,-,0,0.99850075,0,1,0,0,2,1332,-,-,-,-
PalombaEtAl_lucene-solr,0.35,7,5327,5,3462,2,1865,2.791082359,1.85243423,0.000992198,-,-,0,0.998928763,0,1,0,0,2,1865,-,-,-,-
PalombaEtAl_lucene-solr,0.15,7,5327,6,4527,1,800,3.649456193,0.864773528,0.001079617,-,-,0,0.998751561,0,1,0,0,1,800,-,-,-,-
PalombaEtAl_lucene-solr,0.65,7,5327,2,1864,5,3463,1.503215094,3.141246862,0.000905781,-,-,0,0.998558247,0,1,0,0,5,3463,-,-,-,-
PalombaEtAl_lucene-solr,0.8,7,5327,1,1065,6,4262,0.858230664,3.703101849,0.000867643,-,-,0,0.998594189,0,1,0,0,6,4262,-,-,-,-
PalombaEtAl_lucene-solr,0.9,7,5327,1,532,6,4795,0.430153615,4.122216838,0.000858616,-,-,0,0.99875026,0,1,0,0,6,4795,-,-,-,-
PalombaEtAl_lucene-solr,0.75,7,5327,2,1331,5,3996,1.073404688,3.52062739,0.000879937,-,-,0,0.998750312,0,1,0,0,5,3996,-,-,-,-
